,Target_Name,obsid,obs_chunk,RA_(J2000),Dec_(J2000),start_time,processing_date,xrt_exposure,uvot_exposure,bat_exposure,archive_date,Eclip_LONG,Eclip_LAT,GroupID,GroupSize
936,BZBJ0946+0104,91399007,1.0,146.59993,1.08374,2012-10-29 12:46:00,"Nov 18, 2012",1588.547,1567.547,1602.0,"Nov 22, 2012",148.450785217,-11.6291879619,87.0,13.0
937,RXSJ094620.5+01,46471004,2.0,146.60802,1.08878,2014-10-09 17:08:00,"Oct 19, 2014",611.824,587.922,619.0,"Oct 20, 2014",148.456809385,-11.6217039961,87.0,13.0
938,BZBJ0946+0104,91399003,1.0,146.61541,1.08589,2012-10-18 01:09:00,"Oct 24, 2012",154.202,153.876,161.0,"Oct 25, 2012",148.464906267,-11.6219174287,87.0,13.0
940,PMNJ0948+0022,31306027,5.0,147.17218,0.37183,2012-03-26 03:38:00,"Apr 1, 2012",2040.937,2036.291,2050.0,"Apr 2, 2012",149.248217037,-12.1037659346,88.0,46.0
941,PMNJ0948+0022,31306012,2.0,147.18333,0.36546,2011-04-29 04:10:00,"May 5, 2011",1988.394,1984.447,2036.0,"May 6, 2011",149.261160513,-12.1059402523,88.0,46.0
942,PMNJ0948+0022,31306002,1.0,147.18414,0.35812,2009-03-26 06:21:00,"Apr 1, 2009",4869.13,4694.573,4982.0,"Apr 2, 2009",149.264505699,-12.1125609807,88.0,46.0
943,PMNJ0948+0022,31306030,6.0,147.18558,0.37236,2012-04-28 13:43:00,"May 4, 2012",2075.931,2071.32,1371.0,"May 5, 2012",149.26091022,-12.0986868284,88.0,46.0
945,PMNJ0948+0022,31306005,1.0,147.18991,0.38592,2009-05-10 12:21:00,"May 16, 2009",4938.39,4750.412,5074.0,"May 17, 2009",149.260330197,-12.0844636102,88.0,46.0
946,PMNJ0948+0022,31306042,9.0,147.19017,0.36267,2016-06-13 23:59:00,"Jun 24, 2016",1852.883,1908.672,1972.0,"Jun 24, 2016",149.268709978,-12.1062234763,88.0,46.0
948,PMNJ0948+0022,31306006,1.0,147.19313,0.37964,2009-05-15 03:04:00,"May 21, 2009",1433.08,1383.329,1374.0,"May 22, 2009",149.265620514,-12.0892642051,88.0,46.0
949,PMNJ0948+0022,31306032,7.0,147.19407,0.42576,2012-06-18 12:03:00,"Jun 24, 2012",2083.544,2070.195,2103.0,"Jun 25, 2012",149.250399577,-12.045602026,88.0,46.0
950,PMNJ0948+0022,31306015,2.0,147.1941,0.36999,2011-06-04 08:54:00,"Jun 10, 2011",2065.721,2065.462,2119.0,"Jun 11, 2011",149.269927171,-12.0980009439,88.0,46.0
951,PMNJ0948+0022,31306028,5.0,147.19549,0.37098,2012-03-30 02:16:00,"Apr 5, 2012",2233.98,2232.456,2247.0,"Apr 6, 2012",149.270916825,-12.096595338,88.0,46.0
952,PMNJ0948+0022,31306004,1.0,147.19678,0.36943,2009-05-05 10:06:00,"May 11, 2009",4836.45,4686.176,4933.0,"May 12, 2009",149.272698607,-12.097610809,88.0,46.0
953,PMNJ0948+0022,31306003,1.0,147.19794,0.39599,2009-04-15 08:16:00,"Apr 21, 2009",4409.25,4278.102,4509.0,"Apr 22, 2009",149.264525992,-12.072255029,88.0,46.0
954,PMNJ0948+0022,31306029,6.0,147.19912,0.36682,2012-04-23 05:46:00,"Apr 29, 2012",940.384,918.954,964.0,"Apr 30, 2012",149.275860205,-12.0992633399,88.0,46.0
955,PMNJ0948+0022,31306014,2.0,147.19933,0.39327,2011-05-28 01:54:00,"Jun 3, 2011",3674.156,3596.433,3743.0,"Jun 4, 2011",149.266812789,-12.0743358706,88.0,46.0
956,PMNJ0948+0022,31306007,1.0,147.20126,0.42174,2009-05-25 10:25:00,"Jun 2, 2009",4984.5,4884.783,5052.0,"Jun 1, 2009",149.258713584,-12.0469217698,88.0,46.0
958,PMNJ0948+0022,31306033,7.0,147.20432,0.34319,2012-06-30 18:57:00,"Jul 10, 2012",2000.814,1999.584,0.0,"Jul 7, 2012",149.289122552,-12.1196904352,88.0,46.0
959,PMNJ0948+0022,31306041,9.0,147.20456,0.33939,2016-06-08 11:49:00,"Jun 18, 2016",1913.067,1864.201,1927.0,"Jun 19, 2016",149.290682455,-12.1231792212,88.0,46.0
960,PMNJ0948+0022,31306013,2.0,147.20729,0.39434,2011-05-15 03:53:00,"May 21, 2011",4707.81,4605.218,4778.0,"May 22, 2011",149.274087839,-12.0706086228,88.0,46.0
961,PMNJ0948+0022,31306010,1.0,147.2077,0.40988,2009-06-23 10:03:00,"Jun 29, 2009",7826.528,7668.243,7361.0,"Jun 30, 2009",149.269048121,-12.0558651361,88.0,46.0
963,PMNJ0948+0022,31306016,2.0,147.22518,0.3916,2011-06-14 03:17:00,"Jun 20, 2011",5224.985,5103.563,5315.0,"Jun 21, 2011",149.292236986,-12.0670655773,88.0,46.0
964,PMNJ0948+0022,31306040,8.0,147.23047,0.35187,2013-01-17 08:17:00,"Jan 27, 2013",3308.084,3237.455,3332.0,"Jan 28, 2013",149.311217821,-12.1025898785,88.0,46.0
965,PMNJ0948+0022,31306024,4.0,147.23185,0.39993,2012-01-05 23:59:00,"Jan 12, 2012",476.461,459.565,655.0,"Jan 12, 2012",149.295732783,-12.056956743,88.0,46.0
966,PMNJ0948+0022,31306011,1.0,147.23309,0.4099,2009-06-24 19:29:00,"Jun 30, 2009",4737.877,4730.782,4857.0,"Jul 1, 2009",149.293437448,-12.0471639016,88.0,46.0
967,PMNJ0948+0022,31306023,4.0,147.23342,0.40232,2012-01-02 11:08:00,"Jan 8, 2012",1979.139,1937.844,1992.0,"Jan 9, 2012",149.296405461,-12.0541739191,88.0,46.0
968,PMNJ0948+0022,31306017,2.0,147.23386,0.40484,2011-07-02 17:30:00,"Jul 9, 2011",2030.89,2025.864,2079.0,"Jul 9, 2011",149.295946906,-12.0516554154,88.0,46.0
970,PMNJ0948+0022,38394001,1.0,147.23924,0.40379,2009-07-03 12:41:00,"Jul 9, 2009",4238.175,4094.658,4312.0,"Jul 10, 2009",149.301483452,-12.0508019885,88.0,46.0
971,PMNJ0948+0022,31306036,8.0,147.23995,0.36404,2012-12-25 07:15:00,"Jan 5, 2013",1915.196,1862.533,1926.0,"Jan 18, 2013",149.316070267,-12.0879112183,88.0,46.0
972,PMNJ0948+0022,31306009,1.0,147.24165,0.40803,2009-06-14 01:04:00,"Jun 20, 2009",3908.85,3742.697,4026.0,"Jun 21, 2009",149.302316102,-12.0459934166,88.0,46.0
973,PMNJ0948+0022,31306020,3.0,147.24337,0.37257,2011-10-12 21:11:00,"Oct 18, 2011",1926.089,1926.833,1942.0,"Oct 19, 2011",149.316372483,-12.0787259128,88.0,46.0
974,PMNJ0948+0022,31306037,8.0,147.2464,0.36054,2012-12-30 15:34:00,"Jan 9, 2013",749.119,716.875,0.0,"Jan 23, 2013",149.323492922,-12.0889934751,88.0,46.0
975,PMNJ0948+0022,31306008,1.0,147.25042,0.41787,2009-06-04 03:56:00,"Jun 10, 2009",4817.83,4605.218,4958.0,"Jun 11, 2009",149.307300707,-12.0337472361,88.0,46.0
977,PMNJ0948+0022,31306019,3.0,147.25441,0.35721,2011-10-09 00:12:00,"Oct 15, 2011",235.677,235.608,243.0,"Oct 16, 2011",149.332355225,-12.0893820553,88.0,46.0
