Tile,MagType,Error,MagErr_Box,MagErr_Fit
S82m13m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m13m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.1793633889
S82m13m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.2646583727
S82m1p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.7472375028,24.500174218
S82m1p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.742841921
S82m1p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.7174881007,24.5291912291
S82m1p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.7683606194
S82m1p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.368216598,-0.609437912434
S82m1p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m1p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,24.9838230593
S82m1p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.0538364839
S82m25m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.9746696308,24.8180588507
S82m25m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,26.0259968364
S82m25m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.9866968573,24.8543511967
S82m25m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.0622765161
S82m25m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.9087632288,-0.609437912434
S82m25m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m25m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.2327528905,25.36349417
S82m25m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.4501517874
S82m27p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.9848937008,24.7801485348
S82m27p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.9792402296
S82m27p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.9594924208,24.8187135258
S82m27p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.0189086853
S82m27p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.7069994136,-0.609437912434
S82m27p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m27p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.2067024274,25.3252416687
S82m27p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.4167778749
S82p5p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.7116063308,24.5066062056
S82p5p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.7582516913
S82p5p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.7254773024,24.5379501169
S82p5p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.7846232593
S82p5p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.4742978845,-0.609437912434
S82p5p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p5p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,24.9843658822
S82p5p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.0533408828
S82p48p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.9563418243,24.7597238307
S82p48p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,26.0058251938
S82p48p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.9702998668,24.7921463142
S82p48p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.0338176687
S82p48p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.7718255699,-0.609437912434
S82p48p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p48p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.2648896191
S82p48p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.3451852322
S82m20p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.9512713964,24.8027128375
S82m20p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,26.0326552439
S82m20p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.9630564093,24.8360293798
S82m20p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.0640502077
S82m20p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.8676244006,-0.609437912434
S82m20p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m20p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.2391028695,25.3422973026
S82m20p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.4218611682
S82p7p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.8015194388,24.5706117761
S82p7p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.8168795478
S82p7p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.8152852608,24.6061493258
S82p7p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.8493215798
S82p7p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.5652619909,-0.609437912434
S82p7p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p7p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.0327584783
S82p7p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.1085504329
S82p27p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.9128964733,24.7549166956
S82p27p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,26.0024103231
S82p27p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.8897729036,24.7811411965
S82p27p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.0242487121
S82p27p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.8977578192,-0.609437912434
S82p27p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p27p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.1774621266,25.2685877062
S82p27p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.3191280926
S82p36p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.7885295887,24.5016076707
S82p36p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.7430077662
S82p36p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.75784874,24.5355995366
S82p36p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.7733192354
S82p36p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.4735666237,-0.609437912434
S82p36p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p36p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,24.9188212584
S82p36p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,25.9877992346
