,OBJECT,RA,DEC,DOI,FITS
52,Crab Pulsar,83.63307625,22.014493278,http://dx.doi.org/10.1051/0004-6361/201423664,FITS_out/MAGIC_2014_CrabPulsar_SPECTRUM_8.fits
53,3C58,31.4043,64.8283,http://dx.doi.org/10.1051/0004-6361/201424261,FITS_out/MAGIC_2014_3C58_SPECTRUM.fits
54,CassiopeiaA,350.8664167,58.8117778,http://dx.doi.org/10.1051/0004-6361:20078168,FITS_out/MAGIC_2007_CassiopeiaA_SPECTRUM.fits
55,HESS J1813-178,273.36292,-17.84889,http://dx.doi.org/10.1086/500364,FITS_out/MAGIC_2006_HESS1813_SPECTRUM.fits
56,Galactic Center,266.416833,-29.007806,http://dx.doi.org/10.1086/501164,FITS_out/MAGIC_2006_GC_SPECTRUM.fits
57,Mrk180,174.110035042,70.157585278,http://dx.doi.org/10.1086/508020,FITS_out/MAGIC_2006_Mrk180_SPECTRUM.fits
58,Mrk180,174.110035042,70.157585278,http://dx.doi.org/10.1086/508020,FITS_out/MAGIC_2006_Mrk180_SPECTRUM_1.fits
59,Mrk421,166.113808083,38.208833083,http://dx.doi.org/10.1086/518221,FITS_out/MAGIC_2007_Mrk421_SPECTRUM.fits
60,Mrk421,166.113808083,38.208833083,http://dx.doi.org/10.1086/518221,FITS_out/MAGIC_2007_Mrk421_SPECTRUM_1.fits
61,IC443,94.51125,22.66,http://dx.doi.org/10.1086/520957,FITS_out/MAGIC_2007_IC443_SPECTRUM.fits
62,Cygnus X-1,299.590316446,35.201605092,http://dx.doi.org/10.1086/521145,FITS_out/MAGIC_2007_CygnusX1_SPECTRUM.fits
63,Cygnus X-1,299.590316446,35.201605092,http://dx.doi.org/10.1086/521145,FITS_out/MAGIC_2007_CygnusX1_SPECTRUM_1.fits
64,1ES1011+496,153.767249167,49.433529083,http://dx.doi.org/10.1086/521982,FITS_out/MAGIC_2007_1ES1011_SPECTRUM.fits
65,1ES1011+496,153.767249167,49.433529083,http://dx.doi.org/10.1086/521982,FITS_out/MAGIC_2007_1ES1011_SPECTRUM_1.fits
66,1ES1959+650,299.99938375,65.14851472,http://dx.doi.org/10.1086/586731,FITS_out/MAGIC_2008_1ES1959_mw_SPECTRUM.fits
67,LS I +61 303,40.131938163,61.229336515,http://dx.doi.org/10.1086/590332,FITS_out/MAGIC_2008_LSI61303_mw_SPECTRUM.fits
68,LS I +61 303,40.131938163,61.229336515,http://dx.doi.org/10.1086/590332,FITS_out/MAGIC_2008_LSI61303_mw_SPECTRUM_1.fits
69,M87,187.70593075,12.391123306,http://dx.doi.org/10.1086/592348,FITS_out/MAGIC_2008_M87_SPECTRUM.fits
70,M87,187.70593075,12.391123306,http://dx.doi.org/10.1086/592348,FITS_out/MAGIC_2008_M87_SPECTRUM_1.fits
71,M87,187.70593075,12.391123306,http://dx.doi.org/10.1086/592348,FITS_out/MAGIC_2008_M87_SPECTRUM_2.fits
72,WR 147,309.1815,40.352,http://dx.doi.org/10.1086/592433,FITS_out/MAGIC_2008_WRBinSys_SPECTRUM.fits
